slug	title	score	max_score	pass_rate	status	notes
chaos-forecast-hourly	Chaos Forecast Hourly	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
small-problem-epic-trailer	Small Problem Epic Trailer	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
low-stakes-courtroom	Low Stakes Courtroom	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
group-project-prenup	Group Project Prenup	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
subtext-seismograph	Subtext Seismograph	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
spiral-containment-unit	Spiral Containment Unit	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
fake-calm-generator	Fake Calm Generator	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
mood-swing-minutes	Mood Swing Minutes	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
social-recoil-mapper	Social Recoil Mapper	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
tone-safety-check	Tone Safety Check	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
weekend-recovery-form	Weekend Recovery Form	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
